match_id,season,section,home,away,home_score,away_score,venue,date,home_form,home_attack,home_defence,home_rest_days,home_changed_continent,away_form,away_attack,away_defence,away_rest_days,away_changed_continent,elo_home,elo_away,elo_diff,form_diff,rest_diff,cross_continent,altitude,playoff,margin,home_win
91,2021-22,Round 9,Glasgow,Edinburgh,30,17,Scotstoun Stadium,2022-03-18,5.6,23.2,17.6,13.0,0,7.0,27.2,20.2,14.0,0,1.5095976437919991,4.663239669409121,-3.153642025617122,-1.4000000000000004,-1.0,0,0,0,13,1
92,2021-22,Round 7,Bulls,Scarlets,57,12,Loftus Versfeld Stadium,2022-03-18,13.6,30.2,16.6,6.0,0,-1.4,23.0,24.4,7.0,0,1.7165878007250606,-1.93113410510972,3.6477219058347803,15.0,-1.0,1,1,0,45,1
93,2021-22,Round 7,Sharks,Zebre,38,6,Kings Park Stadium,2022-03-19,7.2,25.4,18.2,8.0,0,-26.6,13.4,40.0,6.0,0,5.2787406166365205,-14.30251720450758,19.5812578211441,33.800000000000004,2.0,1,0,0,32,1
94,2021-22,Round 7,Stormers,Cardiff,40,3,Cape Town Stadium,2022-03-20,15.6,29.2,13.6,7.0,0,-14.6,20.4,35.0,7.0,0,4.5052279951069805,-4.90918364424518,9.41441163935216,30.2,0.0,1,0,0,37,1
95,2021-22,Round 14,Munster,Benetton,51,22,Musgrave Park,2022-03-25,17.0,33.4,16.4,13.0,1,-10.2,15.8,26.0,20.0,0,6.80664967644554,-5.424031156123861,12.230680832569401,27.2,-7.0,0,0,0,29,1
96,2021-22,Round 14,Lions,Ospreys,45,15,Ellis Park Stadium,2022-03-25,-9.0,16.6,25.6,12.0,0,-7.0,19.0,26.0,19.0,1,-2.8700625645682205,-3.7021326408546,0.8320700762863793,-2.0,-7.0,1,1,0,30,1
97,2021-22,Round 14,Stormers,Ulster,23,20,Cape Town Stadium,2022-03-26,23.0,32.8,9.8,6.0,0,17.0,27.4,10.4,14.0,1,5.963786831171764,7.637045061775085,-1.673258230603321,6.0,-8.0,1,0,0,3,1
98,2021-22,Round 14,Zebre,Scarlets,24,41,Stadio Sergio Lanfranchi,2022-03-26,-28.0,11.8,39.8,7.0,1,-11.0,21.0,32.0,8.0,1,-14.744391422393171,-3.966361914526242,-10.778029507866929,-17.0,-1.0,0,0,0,-17,0
99,2021-22,Round 14,Sharks,Edinburgh,5,21,Kings Park Stadium,2022-03-26,13.6,28.6,15.0,7.0,0,-0.4,23.8,24.2,8.0,1,5.72061483452211,3.6478754668474087,2.0727393676747017,14.0,-1.0,1,0,0,-16,0
100,2021-22,Round 14,Bulls,Dragons,55,20,Loftus Versfeld Stadium,2022-03-26,17.8,34.8,17.0,8.0,0,-21.6,8.8,30.4,21.0,1,3.751815610141583,-6.360009226940601,10.111824837082185,39.400000000000006,-13.0,1,1,0,35,1
